cell_id,lon,lat,LCZ_Class,Building_Density,LST_Terra,LST_Aqua,NDVI,ERA5_Temp,lst_mean,LST_range,surface_excess,site,surface_excess_pred,amp01
554,39.71943394306256,21.33053876518727,16,0.0651569503823666,49.493202209472656,53.19137573242188,0.0458203069865703,30.489058,51.34228897094727,3.698173522949226,20.853230970947273,,21.080637510421873,0.7452310791700312
555,39.71947799855859,21.33957334028435,16,0.0096961913951617,51.16184616088867,54.60212707519531,0.0588753335177898,30.489058,52.88198661804199,3.4402809143066406,22.392928618041992,,21.532777750205103,0.8212553503727283
556,39.71952207723844,21.34860790558864,16,0.0011437618991731,51.44610595703125,53.5151481628418,0.0439399369060993,30.449898,52.48062705993652,2.069042205810547,22.030729059936522,,21.484383587921137,0.8131182048714399
557,39.719566179108526,21.357642461096763,16,0.0,50.42551040649414,52.54648971557617,0.0454716421663761,30.37251,51.48600006103516,2.1209793090820312,21.113490061035165,,20.822805071221545,0.7018783280589683
558,39.71961030417528,21.36667700680537,16,0.0001631495245581,49.32321166992188,51.888275146484375,0.0558502785861492,30.37251,50.605743408203125,2.565063476562493,20.233233408203127,,21.120555364895935,0.7519429918186838
559,39.7196544524451,21.375711542711127,8,0.0740807600800687,49.074466705322266,51.80141067504883,0.0478078499436378,30.37251,50.43793869018555,2.7269439697265625,20.06542869018555,,18.478323218286477,0.3076698313704403
560,39.71969862392443,21.38474606881066,8,0.1826074730660738,49.05447769165039,51.53334045410156,0.0235130675137043,30.37251,50.29390907287598,2.478862762451172,19.921399072875978,,17.998352148099258,0.22696599747400123
561,39.7197428186197,21.39378058510062,8,0.2661008038257053,48.78443908691406,52.91363143920898,-0.0024163352791219,30.37251,50.84903526306152,4.129192352294915,20.476525263061525,,18.85273363345449,0.3706243672407584
562,39.71978703653736,21.40281509157765,15,0.0506200306001749,48.54671478271485,53.2548828125,0.0403504744172096,30.37251,50.90079879760742,4.708168029785149,20.528288797607424,,20.97629953428721,0.7276873661879595
563,39.71983127768382,21.411849588238425,8,0.0141582695924623,48.69269561767578,52.82346725463867,0.0429057106375694,30.37251,50.75808143615723,4.130771636962891,20.385571436157228,,20.339516223440135,0.6206166326819145
564,39.71987554206554,21.420884075079577,16,0.0103233057493924,48.554805755615234,51.06637573242188,0.0842509418725967,30.37251,49.81059074401856,2.5115699768066477,19.438080744018563,,20.20335721009325,0.5977224311785536
565,39.71991982968898,21.429918552097757,15,0.0108058889183136,48.52013397216797,50.96979522705078,0.0616264231503009,30.37251,49.744964599609375,2.4496612548828125,19.372454599609377,,18.92255423185435,0.38236422058986586
566,39.719964140560585,21.438953019289613,15,0.0026202304406721,47.67877197265625,50.34223556518555,0.0692967921495437,30.37251,49.0105037689209,2.663463592529297,18.6379937689209,,18.809639026140413,0.36337830545384486
567,39.72000847468681,21.44798747665181,8,0.0036298072134694,48.67223739624024,50.80768203735352,0.0649340823292732,30.419796,49.73995971679688,2.1354446411132812,19.32016371679688,,18.534546607005186,0.317123407442181
568,39.72005283207412,21.457021924181003,8,0.001168527243101,49.99787902832031,51.10371398925781,0.0599840879440307,30.54922,50.55079650878906,1.1058349609375,20.001576508789064,,19.661922285255063,0.506683872911223
569,39.720097212728966,21.46605636187384,8,0.0030822323838268,50.67533493041992,51.78009414672851,0.0563502311706543,30.54922,51.22771453857422,1.1047592163085866,20.67849453857422,,19.409990572443476,0.4643232883533641
570,39.72014161665785,21.475090789726977,8,0.0020881322597462,50.21343231201172,51.33781814575195,0.070694051682949,30.54922,50.77562522888184,1.1243858337402344,20.226405228881845,,19.376591770554136,0.4587075095545168
571,39.72018604386722,21.48412520773708,16,7.048688877423845e-05,49.43390655517578,51.06967926025391,0.0684764385223388,30.54922,50.25179290771485,1.635772705078132,19.702572907714853,,18.74402818131979,0.3523462932116422
